the_geom,Name,Descriptio
POINT (-76.6852368414402 39.35301493113853),821-Park Heights Ave - Manhattan Ave,821
POINT (-76.68816715478897 39.35566237819138),822-Park Heights Ave - Glen Ave,822
POINT (-76.691223532 39.3574044743),823 Park Heights Ave - Taney,823
POINT (-76.69390171766281 39.35877634438256),824-Park Heights Ave - W Strathmore Ave,824
POINT (-76.69657185673714 39.36016166734574),825-Park Heights Ave - Fords Ln.,825
POINT (-76.69965907931328 39.36236195168674),826-Park Heights Ave - Clarks Ln.,826
POINT (-76.70281872153282 39.36494683432851),827-Park Heights Ave - Fallstaff Rd,827
POINT (-76.67585045099258 39.34886986249796),828-Park Heights Ave - W Belvedere Ave,828
POINT (-76.67046993970871 39.34411056003898),829-Park Heights Ave - Virginia Ave,829
POINT (-76.6675691306591 39.34101772125064),830-Park Heights Ave - Wiley Ave,830
POINT (-76.66328 39.33563),831-Park Heights Ave - Oswego Ave,831
POINT (-76.68628424406052 39.35389535063389),832-Park Heights Ave - Trainor Ave(JCC),832
POINT (-76.68757438659668 39.35499663714035),833-Park Heights Ave - Trainor Ave,833
POINT (-76.68969467282295 39.35644425288283),834-Park Heights Ave - Menlo Dr,834
POINT (-76.69277787208557 39.35818425560414),835-Park Heights Ave - Pinkney Rd,835
POINT (-76.69433355331421 39.35900135754103),836-Park Heights Ave - W Strathmore Ave,836
POINT (-76.69784992933273 39.36090097891113),837-Park Heights Ave - Bancroft Rd,837
POINT (-76.69887989759445 39.36173878676679),838-Park Heights Ave - N.Bancroft Rd,838
POINT (-76.554981 39.287102),405-Eastern Ave - S Ponca St,405
POINT (-76.67114 39.308965),901- W North Ave - Bloomingdale Rd,901
POINT (-76.669338 39.309002),902 W North Ave - N Rosedale St - 1.1.9.2,902
POINT (-76.667563 39.309079),903- W North Ave - N Longwood St,903
POINT (-76.66566878557205 39.30923196543881),904- North Ave - Poplar Grove St,904
POINT (-76.664032 39.309212),905- W North Ave - N Dukeland St,905
POINT (-76.661155 39.309311),906-W North Ave - Braddish Ave,906
POINT (-76.66477024555206 39.30817769116516),907- Westwood Ave (Dead End),907
POINT (-76.669179 39.306478),908- N Rosedale St - Grayson St,908
POINT (-76.665568202734 39.30715868262892),909- Poplar Grove St - Presbury St,909
POINT (-76.663825 39.306043),910- Baker St - N Dukeland St,910
POINT (-76.667005 39.305242),911- Bloomingdale Rd - Brighton St,911
POINT (-76.66559234261513 39.30466090750337),912-Poplar Grove St - Pressman St,912
POINT (-76.66616901755333 39.30353703527621),913- Blooomingdale Rd - Belmont Ave,913
POINT (-76.668978 39.302958),914 - N Rosedale St - Normount Ct,914
POINT (-76.667342 39.301316),915- Winchester St - N Longwood St,915
POINT (-76.66565135121346 39.30217549645636),916- Bloomingdale Rd - Ellicott Driveway,916
POINT (-76.66352704167366 39.30243390029608),917 - Ellicott Driveway - N Dukeland St,917
POINT (-76.66512966156006 39.30018917967114),918- Poplar Grove St - Riggs Ave,918
POINT (-76.663437 39.299255),919- Mosher St - N Dukeland St,919
POINT (-76.66520610451698 39.29797655981847),920 - Poplar Grove St - W. Lafayette Ave,920
POINT (-76.666835 39.296935),921-N Franklintown Rd - N Longwood St,921
POINT (-76.66509747505188 39.29618524130141),922 - Poplar Grove St - Rayner Ave,922
POINT (-76.66480779647827 39.29452049864725),923 - Poplar Grove St - Edmonson Ave,923
POINT (-76.65927708148956 39.29474364288384),924 - Edmonson Ave - Braddish Ave,924
POINT (-76.65621533989906 39.29482148372927),925- Edmonson Ave - N Warwick Ave,925
POINT (-76.6740533709526 39.29418837567582),926 - Edmonson Ave - Denison St,926
POINT (-76.6938266158104 39.29348883651356),927 - Edmonson Ave - Swan Ave,927
POINT (-76.6824634373188 39.29387908474198),928 - Edmonson Ave - N Loudon Ave,928
POINT (-76.6782858967781 39.29406175337814),929 - Edmonson Ave - Allendale St,929
POINT (-76.640803 39.285454),1001-W Pratt St - S Stricker St,1001
POINT (-76.6407376528 39.2844481691),1002-McHenry - Stricker,1002
POINT (-76.640686 39.283346),1003-S Stricker St - Ramsay St,1003
POINT (-76.6414377093 39.2844481691),1004-Parrish - McHenry,1004
POINT (-76.641401 39.283308),1005-Parrish-Ramsey,1005
POINT (-76.64211362600327 39.28440041960381),1006 McHenry St - S Gilmor St,1006
POINT (-76.64208948612213 39.28327518406798),1007-S Gilmor St - Ramsay St,1007
POINT (-76.64362102746964 39.2853201097617),1008-W Pratt St - S Mount St,1008
POINT (-76.64355397224426 39.2843651265129),1009-MCHenry St - S Mount St,1009
POINT (-76.64351105690002 39.28325857529001),1010-S Mount St - Ramsey St,1010
POINT (-76.645048 39.285251),1011-W Pratt St - S Fulton Ave,1011
POINT (-76.64498090744019 39.28433398553556),1012-S Fulton St - McHenry St,1012
POINT (-76.644949 39.28377),1013-Wilhelm St - S Fulton Ave,1013
POINT (-76.6449111700058 39.28320667283344),1014-Ramsay St - S Fulton Ave,1014
POINT (-76.64578825235367 39.28430699667734),1015-McHenry St - S Addison St,1015
POINT (-76.646775 39.285175),1016-W Pratt St - S Monroe St,1016
POINT (-76.6466861111 39.283694),1017-S Monroe St - Wilhelm St,1017
POINT (-76.646666 39.283147),1018-S Monroe St - Ramsay St,1018
POINT (-76.64844363927841 39.28419904114046),1019-S Payson St - McHenry St,1019
POINT (-76.648399 39.283082),1020-S Payson St - Ramsay St,1020
POINT (-76.648393 39.282815),1021-S Payson St - Ashton St,1021
POINT (-76.6498249769 39.2841720522),1022-S Pulaski St - McHenry,1022
POINT (-76.64978474378586 39.28359905445131),1023-S Pulaski St - Wilhelm St,1023
POINT (-76.649783 39.283009),1024-S Pulaski St - Ramsay St,1024
POINT (-76.649772 39.282387),1025-S Pulaski St - Ashton St,1025
POINT (-76.651205 39.28293),1026-S Smallwood St - Ramsay St,1026
POINT (-76.651191 39.281932),1027 Smallwood/Ashton,1027
POINT (-76.637984 39.285587),1028-Pratt - Carey,1028
POINT (-76.63559 39.304339),1964-PENNSYLVANIA-LAURENS,1433
POINT (-76.63683 39.303422),1965-Fremont-Laurens,1434
POINT (-76.60772904753685 39.28191947960688),1901 - Rusty Scupper,1401
POINT (-76.6093048453331 39.2818592716027),1902 - Rash Field,1202
POINT (-76.61000087857246 39.28184681476778),1903 - Carousel,1203
POINT (-76.61162495613098 39.2820066773143),1904 - Science Center,1204
POINT (-76.61081 39.285747),1905 - Spirit Of Baltimore,1205
POINT (-76.61248460412025 39.28426547533669),1906 - Visitor Center,1206
POINT (-76.61190927028656 39.28539069496333),1907- Light Street Food Hall,1207
POINT (-76.61138892173767 39.28595122198001),1908 - Constellation,1208
POINT (-76.61082163453102 39.28525471458497),1909 - Constellation Pier,1209
POINT (-76.61017656326294 39.28600104638662),1910 - Trade Center,1210
POINT (-76.6060084104538 39.28375683691608),1911 - Pier 5 Hotel,1211
